縣市,南一,康軒,翰林
南投縣,0.25925925925925924,0.32407407407407407,0.4166666666666667
嘉義市,0.25,0.3611111111111111,0.3888888888888889
嘉義縣,0.20987654320987653,0.4444444444444444,0.345679012345679
基隆市,0.23529411764705882,0.21568627450980393,0.5490196078431373
宜蘭縣,0.10843373493975904,0.5060240963855421,0.3855421686746988
屏東縣,0.2578125,0.40625,0.3359375
彰化縣,0.21212121212121213,0.4166666666666667,0.3712121212121212
新北市,0.2268041237113402,0.3230240549828179,0.45017182130584193
新竹市,0.23333333333333334,0.15,0.6166666666666667
新竹縣,0.21904761904761905,0.22857142857142856,0.5523809523809524
桃園市,0.2318840579710145,0.357487922705314,0.4106280193236715
澎湖縣,0.3333333333333333,0.6190476190476191,0.047619047619047616
臺中市,0.20962199312714777,0.40893470790378006,0.38144329896907214
臺北市,0.19696969696969696,0.23863636363636365,0.5643939393939394
臺南市,0.19555555555555557,0.4177777777777778,0.38666666666666666
臺東縣,0.44,0.16,0.4
花蓮縣,0.3466666666666667,0.29333333333333333,0.36
苗栗縣,0.3333333333333333,0.42342342342342343,0.24324324324324326
連江縣,0.06666666666666667,0.6666666666666666,0.26666666666666666
金門縣,0.06666666666666667,0.8,0.13333333333333333
雲林縣,0.36666666666666664,0.225,0.4083333333333333
高雄市,0.20064724919093851,0.44336569579288027,0.3559870550161812
