縣市,南一,康軒,翰林
南投縣,0.17592592592592593,0.3611111111111111,0.46296296296296297
嘉義市,0.19444444444444445,0.2777777777777778,0.5277777777777778
嘉義縣,0.14634146341463414,0.3902439024390244,0.4634146341463415
基隆市,0.0784313725490196,0.3137254901960784,0.6078431372549019
宜蘭縣,0.08433734939759036,0.5180722891566265,0.39759036144578314
屏東縣,0.140625,0.484375,0.375
彰化縣,0.16666666666666666,0.3787878787878788,0.45454545454545453
新北市,0.12371134020618557,0.4329896907216495,0.44329896907216493
新竹市,0.1,0.4,0.5
新竹縣,0.08571428571428572,0.3904761904761905,0.5238095238095238
桃園市,0.08695652173913043,0.45893719806763283,0.45410628019323673
澎湖縣,0.21428571428571427,0.6190476190476191,0.16666666666666666
臺中市,0.13745704467353953,0.4536082474226804,0.40893470790378006
臺北市,0.10646387832699619,0.3726235741444867,0.5209125475285171
臺南市,0.09821428571428571,0.49107142857142855,0.4107142857142857
臺東縣,0.24324324324324326,0.28378378378378377,0.47297297297297297
花蓮縣,0.17333333333333334,0.4533333333333333,0.37333333333333335
苗栗縣,0.25225225225225223,0.40540540540540543,0.34234234234234234
連江縣,0.4,0.5333333333333333,0.06666666666666667
金門縣,0.0,0.8666666666666667,0.13333333333333333
雲林縣,0.18333333333333332,0.3333333333333333,0.48333333333333334
高雄市,0.14563106796116504,0.5016181229773463,0.35275080906148865
