縣市,南一,康軒,翰林
南投縣,0.3055555555555556,0.3333333333333333,0.3611111111111111
嘉義市,0.25,0.4166666666666667,0.3333333333333333
嘉義縣,0.4074074074074074,0.3333333333333333,0.25925925925925924
基隆市,0.4117647058823529,0.23529411764705882,0.35294117647058826
宜蘭縣,0.07142857142857142,0.42857142857142855,0.5
屏東縣,0.21428571428571427,0.40476190476190477,0.38095238095238093
彰化縣,0.26666666666666666,0.5111111111111111,0.2222222222222222
新北市,0.25773195876288657,0.5051546391752577,0.23711340206185566
新竹市,0.15,0.45,0.4
新竹縣,0.22857142857142856,0.3142857142857143,0.45714285714285713
桃園市,0.22857142857142856,0.44285714285714284,0.32857142857142857
澎湖縣,0.35714285714285715,0.6428571428571429,0.0
臺中市,0.21649484536082475,0.38144329896907214,0.4020618556701031
臺北市,0.24719101123595505,0.48314606741573035,0.2696629213483146
臺南市,0.22666666666666666,0.4533333333333333,0.32
臺東縣,0.24,0.28,0.48
花蓮縣,0.24,0.44,0.32
苗栗縣,0.32432432432432434,0.4594594594594595,0.21621621621621623
連江縣,0.0,1.0,0.0
金門縣,0.0,0.8,0.2
雲林縣,0.175,0.2,0.625
高雄市,0.18446601941747573,0.5533980582524272,0.2621359223300971
